Feature,Standardized_Coef
Highest degree offered_Doctor's degree - research/scholarship and professional practice,0.591198490219753
Applicants total,0.44405053933121447
Control of institution_Public,0.3792501362654504
Highest degree offered_Doctor's degree - research/scholarship,0.35455143369860037
Highest degree offered_Doctor's degree -  professional practice,0.2730824150010544
Highest degree offered_Master's degree,0.24341597494149148
SAT Math 75th percentile score,0.14723261153474151
Highest degree offered_Doctor's degree - other,0.13547564079628338
Percent admitted - total,0.09934683388211493
Percent of freshmen receiving Pell grants,-0.0500123095441872
"Graduation rate - Bachelor degree within 6 years, total",-0.03998742999822055
"Tuition and fees, 2013-14",-0.03363085558962811
